
CodigoFIP;NomeEntidade;CNPJ
04707;BRASILPREV SEGUROS E PREVIDÊNCIA S/A;27665207000131
04715;CREFISA SEGUROS S.A. (atual denominação de BAMÉRCIO SEGUROS S.A.);50662436000114
04782;MARKEL SEGURADORA DO BRASIL S.A.;26609195000165
04928;STARR INTERNATIONAL BRASIL SEGURADORA S.A.;17341270000169
04952;SUHAI SEGURADORA S.A. ;16825255000123
05045;COMPANHIA DE SEGUROS ALIANÇA DA BAHIA;15144017000190
05070;ZURICH SANTANDER BRASIL SEGUROS E PREVIDÊNCIA S.A.;87376109000106
05096;ITAÚ VIDA E PREVIDÊNCIA S/A;92661388000190
05118;SUL AMÉRICA CIA. NACIONAL DE SEGUROS;33041062000109
05142;ICATU SEGUROS S.A;42283770000139
05177;ALLIANZ SEGUROS S.A.;61573796000166
05185;LIBERTY SEGUROS S.A. ;61550141000172
05193;COMPANHIA DE SEGUROS PREVIDÊNCIA DO SUL - PREVISUL;92751213000173
05274;BANESTES SEGUROS S.A.;27053230000175
05282;PRUDENTIAL DO BRASIL SEGUROS DE VIDA S.A.;33061813000140
05312;BRADESCO AUTO/RE COMPANHIA DE SEGUROS;92682038000100
05321;ITAU SEGUROS S.A.;61557039000107
05355;AZUL COMPANHIA DE SEGUROS GERAIS;33448150000111
05436;JUNTO SEGUROS S.A.;84948157000133
05444;BRADESCO SEGUROS S.A;33055146000193
05495;ZURICH MINAS BRASIL SEGUROS S.A. ;17197385000121
05631;CAIXA SEGURADORA S.A.;34020354000110
05657;VANGUARDA COMPANHIA DE SEGUROS GERAIS;42582049000140
05665;MAPFRE VIDA S.A.;54484753000149
05690;Companhia Excelsior de Seguros;33054826000192
05720;SOMPO SEGUROS S.A.;61383493000180
05819;AMERICAN LIFE COMPANHIA DE SEGUROS;67865360000127
05843;INDIANA SEGUROS S.A.;61100145000159
05886;PORTO SEGURO COMPANHIA DE SEGUROS GERAIS;61198164000160
05908;GENERALI  BRASIL  SEGUROS S.A.;33072307000157
05941;ZURICH BRASIL COMPANHIA DE SEGUROS;96348677000194
05991;SWISS RE CORPORATE SOLUTIONS BRASIL SEGUROS S.A.;72145931000199
06017;CENTAURO VIDA E PREVIDÊNCIA S.A.  ;42516278000166
06033;PORTO SEGURO VIDA E PREVIDÊNCIA S/A.;58768284000140
06084;MBM SEGURADORA S.A.;87883807000106
06122;FATOR SEGURADORA S.A. ;33061862000183
06157;ZURICH BRASIL VIDA E PREVIDÊNCIA S.A.;01206480000104
06173;INVESTPREV SEGUROS E PREVIDÊNCIA S.A.;17479056000173
06181;BRASILVEÍCULOS COMPANHIA DE SEGUROS;01356570000181
06190;TOKIO MARINE SEGURADORA S.A. ;33164021000100
06211;ALIANÇA DO BRASIL SEGUROS S.A.;01378407000110
06220;SUL AMÉRICA SEGUROS DE PESSOAS E PREVIDÊNCIA S.A.;01704513000146
06238;MAPFRE SEGUROS GERAIS S.A.;61074175000138
06301;RIO GRANDE SEGUROS E PREVIDÊNCIA S.A.;01582075000190
06335;SEGURADORA BRASILEIRA DE CRÉDITO À EXPORTAÇÃO S.A.;02166824000161
06351;METROPOLITAN LIFE SEGUROS E PREVIDÊNCIA PRIVADA S.A.;02102498000129
06360;KYOEI DO BRASIL COMPANHIA DE SEGUROS;61383576000170
06467;Alfa Seguradora S.A.;02713529000188
06513;CHUBB SEGUROS BRASIL S.A.;03502099000118
06530;VIRGINIA SURETY COMPANHIA DE SEGUROS DO BRASIL ;03505295000146
06548;CARDIF DO BRASIL VIDA E PREVIDÊNCIA S/A;03546261000108
06564;ZURICH SANTANDER BRASIL SEGUROS S.A.;06136920000118
06572;HDI SEGUROS S.A.;29980158000157
06602;MITSUI SUMITOMO SEGUROS S.A.;33016221000107
06653;TOO SEGUROS S.A.;33245762000107
06688;COMPANHIA DE SEGUROS DO ESTADO DE SÃO PAULO - COSESP;62088042000183
06696;AXA CORPORATE SOLUTIONS SEGUROS S.A. ;33822131000103
06751;SEGUROS SURA S.A.;33065699000127
06785;BRASILSEG COMPANHIA DE SEGUROS;28196889000143
06793;Gente Seguradora S.A.;90180605000102
06831;SINAF PREVIDENCIAL CIA. DE SEGUROS;44019198000120
06866;BRADESCO VIDA E PREVIDÊNCIA S.A.;51990695000137
06912;ITAUSEG SEGURADORA S.A.;29741030000130
06921;INVESTPREV SEGURADORA S.A.;42366302000128
06947;UNIMED SEGURADORA S.A.;92863505000106
06998;CESCEBRASIL SEGUROS DE GARANTIAS E CRÉDITO S.A.;29959459000107
08141;CAIXA VIDA E PREVIDÊNCIA S.A.;03730204000176
08737;AIG SEGUROS BRASIL S.A.;33040981000150
09938;SAFRA VIDA E PREVIDÊNCIA S.A. ;30902142000105
10031;VIVER PREVIDÊNCIA;33767492000102
10120;EQUATORIAL PREVIDÊNCIA COMPLEMENTAR;42150987000170
10413;FAMILIA BANDEIRANTE PREVIDÊNCIA PRIVADA ;62874219000177
10448;GBOEX - GREMIO BENEFICENTE;92872100000126
10707;MBM Previdência Complementar;92892256000179
10898;RECÍPROCA ASSISTÊNCIA;34115683000144
10901;SABEMI PREVIDÊNCIA PRIVADA;88747928000185
10979;AUXILIADORA PREVIDÊNCIA;17188350000126
10987;SOCIEDADE CAXIENSE DE MÚTUO SOCORRO;88663828000170
11088;FUTURO - PREVIDÊNCIA PRIVADA ;92812098000108
11096;Upofa - União Previdencial;76678101000188
11126;PECÚLIO UNIÃO PREVIDÊNCIA PRIVADA;29961505000102
11134;ASPECIR PREVIDÊNCIA;92843531000164
17400;EVIDENCE PREVIDÊNCIA S.A.;13615969000119
20141;BRASILCAP CAPITALIZAÇÃO S.A.;15138043000105
21318;INVEST CAPITALIZAÇÃO S.A. (Antiga denominação de INVESTPREV CAPITALIZAÇÃO S.A.);93202448000179
21334;ICATU CAPITALIZAÇÃO S.A.;74267170000173
21491;CAPEMISA CAPITALIZAÇÃO S.A.;14056028000155
21628;VANGUARDACAP CAPITALIZAÇÃO S.A.;11467788000167
21661;CIA. ITAÚ DE CAPITALIZAÇÃO;23025711000116
22683;ZURICH BRASIL CAPITALIZAÇÃO S.A.;17266009000141
23540;APLUB CAPITALIZAÇÃO S.A.;88076302000194
23566;BRADESCO CAPITALIZAÇÃO S.A.;33010851000174
24813;APLICAP CAPITALIZAÇÃO S.A.;13122801000171
25429;RIO GRANDE CAPITALIZAÇÃO  S.A.;29985998000102
25585;CAIXA CAPITALIZAÇÃO S.A.;01599296000171
26026;LIDERANÇA CAPITALIZAÇÃO S.A.;60853264000110
28258;MAPFRE Capitalização S.A.;09382998000100
28878;PORTO SEGURO CAPITALIZAÇÃO S.A.;16551758000158
28932;SUL AMÉRICA CAPITALIZAÇÃO S.A. - SULACAP;03558096000104
29319;SANTANDER CAPITALIZAÇÃO S.A.;03209092000102
30074;ALLIANZ GLOBAL CORPORATE & SPECIALTY RESSEGUROS BRASIL S.A.;15517074000177
30201;TERRA BRASIS RESSEGUROS S.A.;12909684000128
31551;SCOR Brasil Resseguros S.A.;19851775000107
31623;IRB BRASIL RESSEGUROS S/A;33376989000191
32875;ZURICH RESSEGURADORA BRASIL S.A.;14387387000195
33294;MAPFRE RE DO BRASIL COMPANHIA DE RESSEGUROS                                                                                 ;01396770000168
34665;XL Resseguros Brasil S.A.;10356741000163
34819;AUSTRAL RESSEGURADORA S.A.;11536561000126
36099;AXA CORPORATE SOLUTIONS BRASIL E AMÉRICA LATINA RESSEGUROS S.A.;19323175000168
37052;BTG Pactual Resseguradora S.A.;15421859000141
37729;MUNICH RE DO BRASIL RESSEGURADORA S.A.;01857539000124
38253;CHUBB RESSEGURADORA BRASIL S.A.;10808462000193
38270;SWISS RE BRASIL RESSEGUROS S.A.;15047380000197
38741;AIG RESSEGUROS BRASIL S.A.;13525547000152
38873;JUNTO RESSEGUROS S.A.;09594758000170
39764;MARKEL RESSEGURADORA DO BRASIL S.A.;13641418000120
40096;TORUS SPECIALTY INSURANCE COMPANY;11987926000139
40207;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE;10853223000155
40215;MAPFRE RE COMPAÑÍA DE REASEGUROS S.A.;05723617000159
40851;CHUBB TEMPEST REINSURANCE LTD.;09438454000113
41262;SCOR SE;05708388000101
41416;FACTORY MUTUAL INSURANCE COMPANY;10916851000132
41432;Odyssey Reinsurance Company;11337192000142
41491;HANNOVER RÜCK SE;09486274000107
41629;SCOR REINSURANCE COMPANY;09486271000173
42307;XL INSURANCE COMPANY SE;10257065000170
42463;LLOYD´S;09390549000104
42684;ARGO RE LTD.;12575275000132
42790;SWISS REINSURANCE COMPANY;05723273000188
42871;LIBERTY MUTUAL INSURANCE COMPANY;08712487000147
42951;TRANSAMERICA INTERNATIONAL RE (BERMUDA) LTD.;09539939000101
43419;STARR INSURANCE & REINSURANCE LIMITED;20869397000160
44661;SCOR GLOBAL LIFE AMERICAS REINSURANCE COMPANY;09577213000155
44814;PARTNER REINSURANCE EUROPE SE (ANTIGA PARTNER REINSURANCE EUROPE PUBLIC LIMITED COMPANY);09345630000172
44920;Everest Reinsurance Company;10223555000156
44938;FINANCIAL ASSURANCE COMPANY LIMITED;17944714000150
45004;ROYAL & SUN ALLIANCE INSURANCE PLC;10274217000143
45420;CATLIN RE SWITZERLAND LTD;03492427000142
45896;GARD MARINE & ENERGY LIMITED ;16365597000108
45926;ARDEN REINSURANCE COMPANY LTD. ( ANTIGA ARIEL REINSURANCE COMPANY LTD.);11459147000160
45951;ATRADIUS REINSURANCE DESIGNATED ACTIVITY COMPANY;29166269000124
46507;AXIS Re SE;11499800000115
46761;FEDERAL INSURANCE COMPANY;09532974000190
47082;HDI GLOBAL NETWORK AG;05547043000105
47406;FINANCIAL INSURANCE COMPANY LIMITED;17944715000103
47660;WESTPORT INSURANCE CORPORATION;23195172000163
47708;XL CATLIN INSURANCE COMPANY UK LIMITED (Antiga Catlin Insurance Company (UK) Ltd);13380383000112
47724;MITSUI SUMITOMO INSURANCE COMPANY, LIMITED;05598097000108
47741;TOKIO MARINE & NICHIDO FIRE INSURANCE CO., LTD.;05711001000168
48178;RGA GLOBAL REINSURANCE COMPANY, LTD.;18120916000140
48186;MÜNCHENER RÜCKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MÜNCHEN;
48259;TRANSATLANTIC REINSURANCE COMPANY;05708742000190
48275;ZURICH INSURANCE COMPANY;05617056000103
48747;SWISS REINSURANCE AMERICA CORPORATION;09482728000171
48879;GENERAL REINSURANCE AG;02030942000148
49131;ARCH REINSURANCE LTD.;16809990000143
49760;AMERICAN HOME ASSURANCE COMPANY;05489278000198
67407;IBRACOR;19438946000162
70076;MEXBRIT BRASIL CORRETORA DE RESSEGUROS LTDA.;06913526000149
70203;CIRCLES GROUP BRASIL CORRETORA DE RESSEGURO S.A;08516565000138
70858;GUY CARPENTER & COMPANY CORRETORA DE RESSEGUROS LTDA.;45887171000112
70939;Nausch Hogan & Murray Brasil Corretora De Resseguros Ltda;07237510000126
71269;BKS RE - CORRETORA DE RESSEGUROS LTDA.;29983071000133
71412;UNIVERSAL RE CORRETORES DE RESSEGUROS LTDA.;10260613000111
71625;BOWRING MARSH CORRETORA DE RESSEGUROS LTDA.;48087985000160
72958;ARX-RE CORRETORA DE RESSEGUROS LTDA;09656599000190
74667;THB RE CORRETORA DE RESSEGUROS LTDA;09591510000155
74811;UIB RE BRASIL CORRETORA DE RESSEGUROS LTDA;09476647000169
74934;BTG PACTUAL CORRETORA DE RESSEGUROS LTDA.;22256195000178
75434;WILLIS CORRETORA DE RESSEGUROS LTDA.;29981859000100
75761;BESSO RE BRASIL CORRETORA DE RESSEGUROS LTDA.;19630496000105
75957;INTER CORRETORA DE RESSEGUROS LTDA.;05362227000109
76503;PLURIS RE CORRETORA DE RESSEGUROS LTDA;10910474000124
76767;COOPER GAY DO BRASIL CORRETORA DE RESSEGUROS LTDA.;05375622000118
77003;BRAZIL RE CORRETORA DE RESSEGUROS LTDA.;30453728000130
77089;BRIB CORRETORA DE RESSEGUROS LTDA;12651299000123
77402;TRUSTER BRASIL CORRETAGEM DE RESSEGUROS LTDA.;22404448000103
77747;CAPSICUM RE LATIN AMERICA CORRETORA DE RESSEGUROS LTDA.;09674690000139
78271;JLT RE BRASIL ADMINISTRAÇÃO E CORRETAGEM DE RESSEGUROS LTDA;03621568000118
78743;Aon Benfield Brasil Corretora de Resseguros Ltda;02757429000153
79766;MDS RE CORRETORA DE RESSEGUROS LTDA.;09556558000122
